theta_power,alpha_power,beta_power,theta_rel_power,alpha_rel_power,beta_rel_power,alpha_beta_ratio,beta_alpha_ratio,theta_beta_ratio,frontal_theta_power,frontal_theta_rel_power,posterior_alpha_power,posterior_alpha_rel_power,central_beta_power,central_beta_rel_power,posterior_alpha_to_central_beta_ratio,frontal_theta_to_central_beta_ratio,engagement_index,log_theta_power,log_alpha_power,log_beta_power,frontal_alpha_asymmetry_log_lr,frontal_beta_asymmetry_log_lr,posterior_alpha_asymmetry_log_lr,posterior_beta_asymmetry_log_lr,dataset,subject,session,task,condition,condition_display,segment_id,window_idx,time_start_seconds,sfreq,window_seconds,source_file,label
2.1834667054110124e-12,2.375216656891617e-12,4.271378002374748e-12,0.09207486676797376,0.09222588986232187,0.14689207047670622,0.45058742814906944,1.265512243089143,0.4142117496463664,2.823866124384375e-12,0.09480650712959326,4.6534286874617125e-12,0.1639979233144181,1.7775770629349753e-12,0.15015919410344475,1.6753553842155458,1.0166652663096545,0.7684154185399351,2.1834667054086286e-12,2.3752166568887962e-12,4.271378002365626e-12,0.06954365139190878,0.48569492081902377,-0.3913713412200152,-0.3725091556017186,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win000,0,0.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.9938497063081584e-12,6.896037482830912e-12,4.24587952076197e-12,0.08338337004162559,0.22286502001443173,0.15329068298175413,1.314562687827275,0.5377228172984463,0.38007920281374463,2.5381214693341037e-12,0.08751816188820342,1.629823327447493e-11,0.4086917164127228,2.016863428910757e-12,0.15448092519385725,5.402376891936216,0.8413113583502505,0.4293152631128829,1.9938497063061708e-12,6.8960374828071345e-12,4.245879520752957e-12,0.09449887060055524,-0.0061363509412649215,-1.3320418887259717,-0.34388830502278245,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win001,1,10.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.7377482906990709e-12,7.597755742370968e-12,3.3731515686222954e-12,0.09087553759408859,0.31897029934941346,0.14578741260992012,1.7373639177945397,0.39232930891475815,0.397367496513853,1.9615148399355176e-12,0.10500277686465105,1.6872157329196393e-11,0.5169213877165502,1.7484750394560245e-12,0.15265155888441664,6.138734056881126,0.7136738779784366,0.32636546392216353,1.737748290697561e-12,7.597755742342106e-12,3.3731515686166065e-12,-0.013665059206010865,0.09202313789218385,-0.43325393062924644,-0.3366992415814191,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win002,2,20.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.5601229895158213e-12,5.338054950545807e-12,4.230085485112114e-12,0.09057651816786914,0.23899306989723576,0.21697622180745363,1.0206439198252184,0.6674106674868504,0.2982977991386269,1.846114654872935e-12,0.10433953011376633,1.1646598279361315e-11,0.3724530137194347,2.4725991812353562e-12,0.2552362179263767,3.3538561957553963,0.531623305346801,0.535577384709961,1.5601229895146044e-12,5.33805495053156e-12,4.230085485103167e-12,0.12724164462533064,-0.05005885551264264,-0.9677957185359379,-0.22999199244708013,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win003,3,30.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.6169329425865508e-12,4.552873578309804e-12,3.8715796674840546e-12,0.10296525826633346,0.2307896236008074,0.20321966902355246,0.9345784917977443,0.6972209276665172,0.3319114235940684,2.0302980919569934e-12,0.12084964994486946,9.864478669142282e-12,0.36451393893344564,1.9490937547697026e-12,0.21307772641693754,3.3449186392219694,0.6884481338286722,0.53998384143287,1.6169329425852436e-12,4.55287357829944e-12,3.87157966747656e-12,-0.09788342838749234,-0.05113365774203928,-0.6098655415687657,-0.13880678059189164,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win004,4,40.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.8220576051853794e-12,7.939777456373686e-12,3.4042537194274255e-12,0.09178515321617675,0.3107425921411004,0.13790809234658832,1.8027520579368204,0.3807984858728598,0.41370405096059176,2.2119301552975966e-12,0.11024070224548878,1.715102770295935e-11,0.46476680437546763,1.426251367863732e-12,0.11689134257985238,7.068940972122152,0.9116657014994942,0.31632650936895623,1.8220576051837194e-12,7.939777456342166e-12,3.404253719421631e-12,0.08023967993052862,0.014441683221902996,-0.9606332460241235,-0.24301516697246991,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win005,5,50.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.6723283730182385e-12,6.43068434130184e-12,3.0070963354444254e-12,0.09751550720725197,0.29787454300846344,0.145539031208161,1.6048239929795989,0.4046863246134862,0.4173416940905069,1.8177333890366113e-12,0.11083104923755455,1.3681662045273375e-11,0.4466255333767489,1.3866900021065098e-12,0.13186887483685364,5.732483914206639,0.7616126884648894,0.33034078165286085,1.6723283730168402e-12,6.430684341281163e-12,3.007096335439904e-12,0.2671628467340014,-0.06920826032893275,-0.736054955772643,-0.22029569836891924,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win006,6,60.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.9711407288637853e-12,3.270048148365264e-12,3.3681771385435762e-12,0.12906862441704436,0.18843438549711855,0.18482864332998827,0.7486070378216285,0.7887913722549106,0.45125018202009015,2.458476029842915e-12,0.15681522722142283,6.7024464823941065e-12,0.29457530215951777,1.492597942493839e-12,0.1639748520801469,2.688940068564898,0.9863107033552371,0.5396691567583151,1.9711407288618426e-12,3.2700481483599173e-12,3.368177138537904e-12,0.059262985454037284,-0.028871297477396862,-0.1445002095106654,-0.3756369439221046,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win007,7,70.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.6664670235553724e-12,9.393760995262692e-12,3.8523325681036424e-12,0.08963682282636722,0.32050386646431056,0.1602753450161062,1.9359268688654419,0.37063894098194805,0.3434362752688756,2.0184696886896774e-12,0.09711534975452474,2.1168294295115098e-11,0.45536757907302133,1.746514363224895e-12,0.1784508091195747,7.70733063644341,0.7349204925765018,0.31942452183264625,1.6664670235539838e-12,9.39376099521857e-12,3.852332568096222e-12,0.09851301699577907,-0.10669468760464904,-1.0922604001445255,-0.3072348249028799,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win008,8,80.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
1.6080687508070039e-12,1.1127506071065469e-11,3.858267381326234e-12,0.07995811023095165,0.3813788003733396,0.14789070353785155,2.2904268533750045,0.3181418635222554,0.33099634593763866,2.0118830176848148e-12,0.09465716961518338,2.55724382450544e-11,0.5634033709490331,1.6741585333776699e-12,0.14794442652410988,9.56279813850618,0.7523424630863789,0.2808959531262095,1.608068750805711e-12,1.1127506071003558e-11,3.858267381318791e-12,0.07792247663230584,-0.08234861427299568,-0.8582338019657528,-0.29193521705014935,ds004148,sub-01,session1,eyesclosed,eyesclosed,low_engagement_proxy,sub-01_session1_eyesclosed_win009,9,90.0,500.0,10,/Users/noahsyrdal/eeg-attention-analysis/data/ds004148/sub-01/ses-session1/eeg/sub-01_ses-session1_task-eyesclosed_eeg.vhdr,0
