feature,importance
frontal_theta_rel_power,0.10458881
frontal_theta_to_central_beta_ratio,0.09292814
frontal_theta_power,0.07850984
beta_power,0.07382655
beta_alpha_ratio,0.06215658
theta_rel_power,0.058588013
beta_rel_power,0.057631504
posterior_alpha_rel_power,0.055559177
alpha_rel_power,0.05245493
theta_power,0.05166594
theta_beta_ratio,0.05091047
central_beta_rel_power,0.049156193
posterior_alpha_power,0.046285577
alpha_beta_ratio,0.042215522
alpha_power,0.04159123
posterior_alpha_to_central_beta_ratio,0.041427966
central_beta_power,0.040503573
